Brand,Title,Price,Rating,Rated_Amount
MSI,MSI GeForce GTX 1080 DirectX 12 GeForce GTX 1080 DUKE 8G Video Card,579,5,3
GIGABYTE,GIGABYTE Radeon RX 580 DirectX 12 GV-RX580GAMING-8GD Video Card,319,4,23
EVGA,EVGA GeForce GTX 1070 Ti GAMING 08G-P4-5678-KR 8GB GDDR5 SC HYBRID & LED,569,5,3
MSI,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC Video Card,319,5,19
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate SPECIAL EDITION (UEFI)| 100411NT+8GSEL,389,4,28
EVGA,EVGA GeForce GTX 1050 Ti FTW GAMING ACX 3.0| 04G-P4-6258-KR| 4GB GDDR5| DX12 OSD Support (PXOC),219,5,265
ASUS,ASUS GeForce GTX 1080 TURBO-GTX1080-8G Video Card,569,4,343
ASUS,ASUS ROG Radeon RX Vega 64 STRIX-RXVEGA64-O8G-GAMING Video Card,759,4,13
GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-3GD Video Card,259,4,444
GIGABYTE,GIGABYTE GeForce GTX 1080 Ti DirectX 12 GV-N108TGAMINGOC BLACK-11GD Video Card,849,4,6
ZOTAC,ZOTAC GeForce GTX 1080 Mini| ZT-P10800H-10P| 8GB GDDR5X IceStorm Cooling| Dual Fans| 90mm Pressure Optimized Fan| 100mm Maximum Airflow Optimized Fan| Direct GPU Copper Block Contact| Metal Back Plate,549,4,160
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ backplate (UEFI)| 100411NT+8GL,359,4,42
